E_over_a_c,rate_over_a_c_v_0.30,rate_over_a_c_v_0.60,rate_over_a_c_v_0.85,a_c_beta_eff_v_0.30,a_c_beta_eff_v_0.60,a_c_beta_eff_v_0.85
0.08,7.32583843160540624e-03,1.31247130423143704e-02,1.63938394804544925e-02,1.25904015840748915e+01,8.47610760355907011e+00,7.18417111397690888e+00
0.12,7.05655785215293565e-03,1.21224248296590859e-02,1.45505616846561946e-02,1.09174064559020962e+01,7.88362077330679334e+00,6.98631952847034210e+00
0.16,6.79401291879563798e-03,1.11751810568986257e-02,1.28778447602608641e-02,9.73593263259732034e+00,7.42152769977872939e+00,6.81908815699334436e+00
0.20,6.53812046252692791e-03,1.02815462430338681e-02,1.13676775651943250e-02,8.84801475858897568e+00,7.04997387542981624e+00,6.67517796185988921e+00
0.24,6.28879713274264202e-03,9.44005496790647179e-03,1.00114232503378843e-02,8.15168476622996430e+00,6.74438763661163598e+00,6.54921192201362334e+00
0.28,6.04595940080183622e-03,8.64921329075336344e-03,8.79989344836832818e-03,7.58837868375749114e+00,6.48866711774998173e+00,6.43708288974355902e+00
0.32,5.80952356359510074e-03,7.90750019481179130e-03,7.72342645690964318e-03,7.12176592842289580e+00,6.27175187902210673e+00,6.33556486920204520e+00
0.36,5.57940574712008624e-03,7.21336905641571137e-03,6.77196865409947658e-03,6.72797028086044513e+00,6.08575259545651281e+00,6.24208125854877860e+00
0.40,5.35552191006399662e-03,6.56524913700174545e-03,5.93515835707789183e-03,6.39057980479893573e+00,5.92486404902963759e+00,6.15457425406646497e+00
0.44,5.13778784739302684e-03,5.96154709642102761e-03,5.20241131445280114e-03,6.09789977116509530e+00,5.78470015390559666e+00,6.07144465504192166e+00
0.48,4.92611919394859380e-03,5.40064852593077818e-03,4.56300701266494895e-03,5.84134696063537895e+00,5.66186944291603744e+00,5.99154375169128528e+00
0.52,4.72043142805014804e-03,4.88091949922033700e-03,4.00617497345721277e-03,5.61446432354764546e+00,5.55369402077627239e+00,5.91420483921736828e+00
0.56,4.52063987510476200e-03,4.40070813980684549e-03,3.52118022536127570e-03,5.41229143203769336e+00,5.45801747883772936e+00,5.83930461385875699e+00
0.60,4.32665971122294345e-03,3.95834620311946803e-03,3.09740714675877434e-03,5.23094832985853131e+00,5.37306980966019054e+00,5.76734710450944998e+00
0.64,4.13840596684078750e-03,3.55215067157541075e-03,2.72455595096432685e-03,5.06735231797713315e+00,5.29736989553994952e+00,5.69950380222473285e+00
