speed,energy_over_a_c,production_rate_over_a_c,reference_rate_over_a_c,absolute_difference,relative_difference
0.30,0.08,7.32583843160540624e-03,7.32583843162301542e-03,1.76091780046405688e-14,2.40370821292318795e-12
0.30,0.12,7.05655785215293565e-03,7.05655785217118147e-03,1.82458215203240570e-14,2.58565463538432306e-12
0.30,0.16,6.79401291879563798e-03,6.79401291880533768e-03,9.69970631592431687e-15,1.42768440858807159e-12
0.30,0.20,6.53812046252692791e-03,6.53812046252708837e-03,1.60461921527854656e-16,2.45425153065830099e-14
0.30,0.24,6.28879713274264202e-03,6.28879713274085872e-03,1.78329573330415769e-15,2.83567063090639161e-13
0.30,0.28,6.04595940080183622e-03,6.04595940079544810e-03,6.38811920028459213e-15,1.05659313548220764e-12
0.30,0.32,5.80952356359510074e-03,5.80952356358806730e-03,7.03343633334796436e-15,1.21067351846731925e-12
0.30,0.36,5.57940574712008624e-03,5.57940574711658643e-03,3.49980461278320831e-15,6.27271930275351033e-13
0.30,0.40,5.35552191006399662e-03,5.35552191006149949e-03,2.49713444366861381e-15,4.66272846158506007e-13
0.30,0.44,5.13778784739302684e-03,5.13778784739404946e-03,1.02261948908832778e-15,1.99038870319842649e-13
0.30,0.48,4.92611919394859380e-03,4.92611919395239978e-03,3.80598330629311477e-15,7.72612914231870171e-13
0.30,0.52,4.72043142805014804e-03,4.72043142805330697e-03,3.15893144975376572e-15,6.69203969573709205e-13
0.30,0.56,4.52063987510476200e-03,4.52063987510840752e-03,3.64552138476526011e-15,8.06417119142417495e-13
0.30,0.60,4.32665971122294345e-03,4.32665971122493144e-03,1.98799310346942093e-15,4.59475261784938276e-13
0.30,0.64,4.13840596684078750e-03,4.13840596683998606e-03,8.01442245901284878e-16,1.93659648744719952e-13
0.30,0.68,3.95579353034809702e-03,3.95579353034671965e-03,1.37737043992558483e-15,3.48190680165468669e-13
0.30,0.72,3.77873715172222973e-03,3.77873715171935833e-03,2.87140103361060994e-15,7.59883770244272639e-13
0.30,0.76,3.60715144616751597e-03,3.60715144616450580e-03,3.01017891168875451e-15,8.34503057776929847e-13
0.30,0.80,3.44095089776001468e-03,3.44095089775879907e-03,1.21560747579074757e-15,3.53276612166279827e-13
0.30,0.84,3.28004986309735460e-03,3.28004986309676479e-03,5.89805981832114412e-16,1.79816163305293790e-13
0.30,0.88,3.12436257495364621e-03,3.12436257495473779e-03,1.09157474725840586e-15,3.49375183280134945e-13
