speed,energy_over_a_c,production_rate_over_a_c,mode_sum_rate_over_a_c,absolute_difference,relative_difference
0.30,0.08,7.32583843160540624e-03,7.32583843162792209e-03,2.25158433564409677e-14,3.07348347449666255e-12
0.30,0.12,7.05655785215293565e-03,7.05655785216937736e-03,1.64417091053081776e-14,2.32998998233303634e-12
0.30,0.16,6.79401291879563798e-03,6.79401291880461257e-03,8.97459190296601150e-15,1.32095596670503035e-12
0.30,0.20,6.53812046252692791e-03,6.53812046252890203e-03,1.97411531566160647e-15,3.01939269393337506e-13
0.30,0.24,6.28879713274264202e-03,6.28879713273937900e-03,3.26301485831237414e-15,5.18861523028811075e-13
0.30,0.28,6.04595940080183622e-03,6.04595940079579158e-03,6.04464395204118432e-15,9.99782425142577981e-13
0.30,0.32,5.80952356359510074e-03,5.80952356358878808e-03,6.31265872907960102e-15,1.08660523707042248e-12
0.30,0.36,5.57940574712008624e-03,5.57940574711549009e-03,4.59614984960055040e-15,8.23770497776886792e-13
0.30,0.40,5.35552191006399662e-03,5.35552191006220552e-03,1.79110198894605332e-15,3.34440231787838821e-13
0.30,0.44,5.13778784739302684e-03,5.13778784739411104e-03,1.08420217248550443e-15,2.11025095758948553e-13
0.30,0.48,4.92611919394859380e-03,4.92611919395173105e-03,3.13724740630405563e-15,6.36859824698508090e-13
0.30,0.52,4.72043142805014804e-03,4.72043142805405203e-03,3.90399518268580437e-15,8.27042028295109650e-13
0.30,0.56,4.52063987510476200e-03,4.52063987510807706e-03,3.31505656259167836e-15,7.33315781432915804e-13
0.30,0.60,4.32665971122294345e-03,4.32665971122468077e-03,1.73732556119077231e-15,4.01539681219583231e-13
0.30,0.64,4.13840596684078750e-03,4.13840596684057847e-03,2.09034178855205255e-16,5.05107958305961337e-14
0.30,0.68,3.95579353034809702e-03,3.95579353034621398e-03,1.88304233317282410e-15,4.76021389571365891e-13
0.30,0.72,3.77873715172222973e-03,3.77873715171945200e-03,2.77772596590786236e-15,7.35093724273439851e-13
0.30,0.76,3.60715144616751597e-03,3.60715144616483886e-03,2.67711200430120755e-15,7.42167897371634065e-13
0.30,0.80,3.44095089776001468e-03,3.44095089775829947e-03,1.71520783687206801e-15,4.98469140605722213e-13
0.30,0.84,3.28004986309735460e-03,3.28004986309708398e-03,2.70616862252381907e-16,8.25038866930091267e-14
0.30,0.88,3.12436257495364621e-03,3.12436257495479546e-03,1.14925430283463470e-15,3.67836406711299373e-13
0.30,0.92,2.97380314593922741e-03,2.97380314594131515e-03,2.08773970333808734e-15,7.02043679719507163e-13
0.30,0.96,2.82828557216520046e-03,2.82828557216746644e-03,2.26598254049470427e-15,8.01185906682740165e-13
0.30,1.00,2.68772373691254047e-03,2.68772373691422966e-03,1.68918698473241591e-15,6.28482370242325629e-13
0.30,1.04,2.55203141430576609e-03,2.55203141430634765e-03,5.81566045321224578e-16,2.27883576221296862e-13
0.30,1.08,2.42112227299078704e-03,2.42112227299013131e-03,6.55725473919233082e-16,2.70835339972070023e-13
0.30,1.12,2.29490987981691673e-03,2.29490987981530994e-03,1.60678761962351757e-15,7.00152818093592816e-13
0.30,1.16,2.17330770352270296e-03,2.17330770352072928e-03,1.97368163479261227e-15,9.08146431172757752e-13
0.30,1.20,2.05622911842540893e-03,2.05622911842374490e-03,1.66403349433075221e-15,8.09264628839786006e-13
0.30,1.24,1.94358740811393293e-03,1.94358740811311805e-03,8.14886352840105133e-16,4.19269207774512535e-13
0.30,1.28,1.83529576914498384e-03,1.83529576914525728e-03,2.73435787900844218e-16,1.48987314468768181e-13
0.30,1.32,1.73126731474238177e-03,1.73126731474360822e-03,1.22644949751560262e-15,7.08411397287445164e-13
